Year,Decimal Day of Year,Month,Day,Time,Latest Feb Ice Reading,Latest Feb Date,feb_high_temp,feb_low_temp,feb_avg_temp,Latest March Ice Reading,Latest March Date,march_high_temp,march_low_temp,march_avg_temp,nino34_feb,nino34_march,ao_feb,ao_march,pdo_feb,pdo_march
1917,120.4792,April,30.0,11:30,,,,,,,,,,,,,,,,
1918,131.3979,May,11.0,9:33,,,,,,,,,,,,,,,,
1919,123.6063,May,3.0,14:33,,,,,,,,,,,,,,,,
1920,132.4486,May,11.0,10:46,,,,,,,,,,,,,,,,
1921,131.2792,May,11.0,6:42,,,,,,,,,,,,,,,,
1922,132.5556,May,12.0,13:20,,,,,,,,,,,,,,,,
1923,129.0833,May,9.0,2:00,,,,,,,,,,,,,,,,
1924,132.6319,May,11.0,15:10,,,,,,,,,,,,,,,,
1925,127.7722,May,7.0,18:32,,,,,,,,,,,,,,,,
1926,116.6688,April,26.0,16:03,,,,,,,,,,,,,,,,
1927,133.2375,May,13.0,5:42,,,,,,,,,,,,,,,,
1928,127.684,May,6.0,16:25,,,,,,,,,,,,,,,,
1929,125.6535,May,5.0,15:41,,,,,,,,,,,,,,,,
1930,128.7938,May,8.0,19:03,,,,,,,,,,,,,,,,
1931,130.391,May,10.0,9:23,,,,,,,,,,,,,,,,
1932,122.4271,May,1.0,10:15,,,,,,,,,,,,,,,,
1933,128.8125,May,8.0,19:30,,,,,,,,,,,,,,,,
1934,120.5882,April,30.0,14:07,,,,,,,,,,,,,,,,
1935,135.5639,May,15.0,13:32,,,,,,,,,,,,,,,,
1936,121.5403,April,30.0,12:58,,,,,,,,,,,,,,,,
1937,132.8361,May,12.0,20:04,,,,,,,,,,,,,,,,
1938,126.8431,May,6.0,20:14,,,,,,,,,,,,,,,,
1939,119.5597,April,29.0,13:26,,,,,,,,,,,,,,,,
1940,111.6438,April,20.0,15:27,,,,,,,,,,,,,,,,
1941,123.0764,May,3.0,1:50,,,,,,,,,,,,,,,,
1942,120.5611,April,30.0,13:28,,,,,,,,,,,,,,,,
1943,118.8069,April,28.0,19:22,,,,,,,,,,,,,,,,
1944,125.5889,May,4.0,14:08,,,,,,,,,,,,,,,,
1945,136.4035,May,16.0,9:41,,,,,,,,,,,,,,,,
1946,125.6944,May,5.0,16:40,,,,,,,,,,,,,,,,
1947,123.7451,May,3.0,17:53,,,,,,,,,,,,,,,,
1948,134.4674,May,13.0,11:13,,,,,,,,,,,,,,,,
1949,134.5271,May,14.0,12:39,,,,,,,,,,,,,,,,
1950,126.6764,May,6.0,16:14,,,,,,,,,,,,,,,,
1951,120.7458,April,30.0,17:54,,,,,,,,,,,,,,,,
1952,133.7111,May,12.0,17:04,,,,,,,,,,,,,,,,
1953,119.6625,April,29.0,15:54,,,,,,,,,,,,,,,,
1954,126.7507,May,6.0,18:01,,,,,,,,,,,,,,,,
1955,129.5924,May,9.0,14:13,,,,,,,,,,,,,,,,
1956,122.975,May,1.0,23:24,,,,,,,,,,,,,,,,
1957,125.3958,May,5.0,9:30,,,,,,,,,,,,,,,,
1958,119.6222,April,29.0,14:56,,,,,,,,,,,,,,,,
1959,128.4764,May,8.0,11:26,,,,,,,,,,,,,,,,
1960,123.8,May,2.0,19:12,,,,,,,,,,,,,,,,
1961,125.4799,May,5.0,11:31,,,,,,,,,,,,,,,,
1962,132.9743,May,12.0,23:23,,,,,,,,,,,,,,,,
1963,125.7674,May,5.0,18:25,,,,,,,,,,,,,,,,
1964,141.4868,May,20.0,11:41,,,,,,,,,,,,,,,,
1965,127.7924,May,7.0,19:01,,,,,,,,,,,,,,,,
1966,128.5076,May,8.0,12:11,,,,,,,,,,,,,,,,
1967,124.4965,May,4.0,11:55,,,,,,,,,,,,,,,,
1968,129.3931,May,8.0,9:26,,,,,,,,,,,,,,,,
1969,118.5194,April,28.0,12:28,,,,,,,,,,,,,,,,
1970,124.4424,May,4.0,10:37,,,,,,,,,,,,,,,,
1971,128.8965,May,8.0,21:31,,,,,,,,,,,,,,,,
1972,131.4972,May,10.0,11:56,,,,,,,,,,,,,,,,
1973,124.4993,May,4.0,11:59,,,,,,,,,,,,,,,,
1974,126.6556,May,6.0,15:44,,,,,,,,,,,,,,,,
1975,130.5757,May,10.0,13:49,,,,,,,,,,,,,,,,
1976,123.4521,May,2.0,10:51,,,,,,,,,,,,,,,,
1977,126.5319,May,6.0,12:46,,,,,,,,,,,,,,,,
1978,120.6375,April,30.0,15:18,,,,,,,,,,,,,,,,
1979,120.7611,April,30.0,18:16,,,,,,,,,,,,,,,,
1980,120.5528,April,29.0,13:16,,,,,,,,,,,,,,,,
1981,120.7806,April,30.0,18:44,,,,,,,,,,,,,,,,
1982,130.7333,May,10.0,17:36,,,,,,,,,,,,,,,,
1983,119.7757,April,29.0,18:37,,,,,,,,,,,,,,,,
1984,130.6479,May,9.0,15:33,,,,,,,,,,,,,,,,
1985,131.6083,May,11.0,14:36,,,,,,,,,,,,,,,,
1986,128.9514,May,8.0,22:50,,,,,,,,,,,,,,,,
1987,125.6326,May,5.0,15:11,,,,,,,,,,,,,,,,
1988,118.3854,April,27.0,9:15,,,,,,,,,,,,,,,,
1989,121.8431,May,1.0,20:14,42.0,26.0,37.0,9.0,18.38,42.0,28.0,36.0,11.0,22.9,-1.53,-1.16,3.106,3.279,-1.24,-1.45
1990,114.7215,April,24.0,17:19,35.0,25.0,10.0,0.0,4.52,36.0,30.0,48.0,28.0,37.5,0.38,0.31,1.001,3.402,-0.42,-1.28
1991,121.0028,May,1.0,12:04,28.0,25.0,35.0,14.0,22.38,35.0,26.0,36.0,12.0,23.63,0.54,0.34,0.723,-0.876,-1.8,-1.09
1992,135.2681,May,14.0,6:26,42.0,24.0,18.0,0.0,11.12,45.0,30.0,50.0,28.0,38.17,0.89,0.64,0.55,1.122,0.08,0.17
1993,113.5424,April,23.0,13:01,30.0,26.0,31.0,13.0,22.92,28.0,31.0,53.0,22.0,38.67,0.1,0.05,3.495,0.184,-0.28,0.02
1994,119.959,April,29.0,23:01,51.0,24.0,36.0,15.0,25.88,58.0,31.0,56.0,31.0,38.75,-0.06,0.05,-0.288,-0.862,0.85,0.33
1995,116.5569,April,26.0,13:22,29.0,28.0,32.0,14.0,21.67,34.0,31.0,49.0,14.0,32.73,0.71,0.71,-0.154,1.429,-0.86,0.02
1996,126.5222,May,5.0,12:32,46.0,29.0,40.0,26.0,32.0,45.5,27.0,44.0,20.0,27.67,-0.52,-0.4,-1.2,0.163,1.01,1.01
1997,120.4361,April,30.0,10:28,46.0,25.0,55.0,22.0,29.78,44.5,18.0,34.0,4.0,16.13,0.19,0.24,-0.457,1.889,0.44,0.29
1998,110.7042,April,20.0,16:54,38.5,25.0,32.0,13.0,16.97,34.5,30.0,54.0,23.0,35.04,0.59,0.3,-2.081,-0.183,1.05,1.52
1999,119.9076,April,29.0,21:47,43.0,24.0,22.0,1.0,9.25,43.0,29.0,49.0,23.0,33.25,-1.64,-1.35,0.11,0.482,-0.78,-1.06
2000,122.4493,May,1.0,10:47,33.0,27.0,41.0,13.0,26.71,36.7,30.0,46.0,15.0,32.63,-1.47,-1.43,1.27,1.076,-2.2,-1.28
2001,128.5417,May,8.0,13:00,44.0,25.0,37.0,23.0,31.88,39.0,29.0,36.0,16.0,26.13,-0.82,-0.71,-0.959,-0.622,0.48,-0.01
2002,127.8938,May,7.0,21:27,47.0,14.0,37.0,13.0,28.62,48.0,31.0,41.0,19.0,28.92,0.46,0.25,1.381,1.304,-0.42,-1.51
2003,119.7653,April,29.0,18:22,43.7,24.0,39.0,31.0,32.96,47.5,31.0,38.0,29.0,32.83,0.69,0.6,-0.472,0.128,1.45,1.23
2004,115.5944,April,24.0,14:16,37.5,25.0,42.0,7.0,29.83,35.0,29.0,40.0,16.0,22.5,0.38,0.1,-1.686,-1.528,-0.55,-0.21
2005,118.5007,April,28.0,12:01,40.0,24.0,29.0,7.0,16.61,36.0,31.0,43.0,21.0,30.17,0.67,0.61,0.356,-1.271,-0.15,-0.01
2006,122.7285,May,2.0,17:29,37.0,23.0,42.0,19.0,32.0,34.5,30.0,41.0,19.0,24.36,-0.67,-0.59,-0.17,-0.156,0.54,0.38
2007,117.6576,April,27.0,15:47,51.1,28.0,25.0,13.0,18.3,48.7,29.0,39.0,11.0,16.36,0.46,0.34,2.034,-1.307,-0.69,-0.71
2008,127.9535,May,6.0,22:53,41.0,15.0,40.0,20.0,28.74,47.5,31.0,46.0,25.0,37.52,-1.58,-1.35,0.819,0.938,-1.5,-1.46
2009,121.8618,May,1.0,20:41,45.5,19.0,35.0,17.0,27.97,43.7,25.0,39.0,17.0,22.97,-0.85,-0.58,0.8,-0.672,-1.81,-1.78
2010,119.3792,April,29.0,9:06,50.0,18.0,35.0,14.0,22.32,50.4,31.0,48.0,24.0,34.96,0.88,0.75,-2.587,-4.266,0.05,0.25
2011,124.6833,May,4.0,16:24,40.8,24.0,54.0,11.0,22.57,41.5,31.0,43.0,17.0,27.92,-1.05,-0.81,-1.683,1.575,-1.8,-1.46
2012,114.8188,April,23.0,19:39,33.0,20.0,29.0,14.0,21.29,41.3,29.0,44.0,17.0,27.83,-0.91,-0.77,-0.22,-0.036,-1.85,-1.35
2013,140.6118,May,20.0,14:41,51.0,20.0,28.0,5.0,14.61,47.2,28.0,43.0,16.0,29.78,-0.19,-0.37,-0.61,-1.007,-1.1,-1.42
2014,115.6583,April,25.0,15:48,34.0,20.0,33.0,12.0,15.93,40.2,27.0,43.0,15.0,28.33,0.07,0.28,-0.969,0.044,-0.57,-0.42
2015,114.6007,April,24.0,14:25,34.0,20.0,34.0,24.0,30.66,35.7,30.0,50.0,25.0,35.42,0.87,0.9,1.092,1.043,1.51,1.52
2016,114.6521,April,23.0,15:39,33.0,22.0,42.0,18.0,28.79,35.7,31.0,51.0,32.0,37.63,1.22,1.07,-1.449,-0.024,0.75,1.29
